nohup: ignoring input
--- Starting Sine-Wave Traffic Test (Duration: 120s) ---
Time: 0s | Target Workers: 1 | Active PIDs: 1
Time: 2s | Target Workers: 1 | Active PIDs: 1
Time: 4s | Target Workers: 1 | Active PIDs: 1
Time: 6s | Target Workers: 1 | Active PIDs: 1
Time: 8s | Target Workers: 1 | Active PIDs: 1
Time: 10s | Target Workers: 1 | Active PIDs: 1
Time: 12s | Target Workers: 1 | Active PIDs: 1
Time: 14s | Target Workers: 1 | Active PIDs: 1
Time: 16s | Target Workers: 1 | Active PIDs: 1
Time: 18s | Target Workers: 1 | Active PIDs: 1
Time: 20s | Target Workers: 1 | Active PIDs: 1
Time: 22s | Target Workers: 1 | Active PIDs: 1
Time: 24s | Target Workers: 1 | Active PIDs: 1
Time: 26s | Target Workers: 1 | Active PIDs: 1
Time: 28s | Target Workers: 1 | Active PIDs: 1
Time: 30s | Target Workers: 1 | Active PIDs: 1
Time: 32s | Target Workers: 1 | Active PIDs: 1
Time: 34s | Target Workers: 1 | Active PIDs: 1
Time: 37s | Target Workers: 1 | Active PIDs: 1
Time: 39s | Target Workers: 1 | Active PIDs: 1
Time: 41s | Target Workers: 1 | Active PIDs: 1
Time: 43s | Target Workers: 1 | Active PIDs: 1
Time: 45s | Target Workers: 1 | Active PIDs: 1
Time: 47s | Target Workers: 1 | Active PIDs: 1
Time: 49s | Target Workers: 1 | Active PIDs: 1
Time: 51s | Target Workers: 1 | Active PIDs: 1
Time: 53s | Target Workers: 1 | Active PIDs: 1
Time: 55s | Target Workers: 1 | Active PIDs: 1
Time: 57s | Target Workers: 1 | Active PIDs: 1
Time: 59s | Target Workers: 1 | Active PIDs: 1
Time: 61s | Target Workers: 1 | Active PIDs: 1
Time: 63s | Target Workers: 1 | Active PIDs: 1
Time: 65s | Target Workers: 1 | Active PIDs: 1
Time: 67s | Target Workers: 1 | Active PIDs: 1
Time: 69s | Target Workers: 1 | Active PIDs: 1
Time: 71s | Target Workers: 1 | Active PIDs: 1
Time: 73s | Target Workers: 1 | Active PIDs: 1
Time: 75s | Target Workers: 1 | Active PIDs: 1
Time: 77s | Target Workers: 1 | Active PIDs: 1
Time: 79s | Target Workers: 1 | Active PIDs: 1
Time: 81s | Target Workers: 1 | Active PIDs: 1
Time: 83s | Target Workers: 1 | Active PIDs: 1
Time: 85s | Target Workers: 1 | Active PIDs: 1
Time: 87s | Target Workers: 1 | Active PIDs: 1
Time: 89s | Target Workers: 1 | Active PIDs: 1
Time: 91s | Target Workers: 1 | Active PIDs: 1
Time: 93s | Target Workers: 1 | Active PIDs: 1
Time: 95s | Target Workers: 1 | Active PIDs: 1
Time: 97s | Target Workers: 1 | Active PIDs: 1
Time: 99s | Target Workers: 1 | Active PIDs: 1
Time: 101s | Target Workers: 1 | Active PIDs: 1
Time: 103s | Target Workers: 1 | Active PIDs: 1
Time: 105s | Target Workers: 1 | Active PIDs: 1
Time: 107s | Target Workers: 1 | Active PIDs: 1
Time: 109s | Target Workers: 1 | Active PIDs: 1
Time: 111s | Target Workers: 1 | Active PIDs: 1
Time: 113s | Target Workers: 1 | Active PIDs: 1
Time: 115s | Target Workers: 1 | Active PIDs: 1
Time: 117s | Target Workers: 1 | Active PIDs: 1
--- Traffic Test Ended ---
